{'step: ': 68, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-14 14:30:00-0400', tz='America/New_York')}
{'step: ': 69, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-14 15:30:00-0400', tz='America/New_York')}
{'step: ': 70, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-18 09:30:00-0400', tz='America/New_York')}
{'step: ': 71, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-18 10:30:00-0400', tz='America/New_York')}
{'step: ': 72, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-18 11:30:00-0400', tz='America/New_York')}
{'step: ': 73, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-18 12:30:00-0400', tz='America/New_York')}
{'step: ': 74, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-18 13:30:00-0400', tz='America/New_York')}
{'step: ': 75, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-18 14:30:00-0400', tz='America/New_York')}
{'step: ': 76, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-18 15:30:00-0400', tz='America/New_York')}
{'step: ': 77, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-19 09:30:00-0400', tz='America/New_York')}
{'step: ': 78, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-19 10:30:00-0400', tz='America/New_York')}
{'step: ': 79, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-19 11:30:00-0400', tz='America/New_York')}
